Cal. year / month,Material Group,Calendar Day,Material,Brand,Sales Office,Sales District,Sold-to party,Acounts,Ship-To Party,Customer group 1,SalesValue,SalesQty,FocQty,Total Qty(Ea)
7.2022,ASTRA ZENECA,7/2/2022,M350800,INDERAL 40MG TABS 50,MPC Dubai Sales Off,Deira Dubai,116079,LIFE PHARMACY 26 (L.G),116079,Private,25.32 AED,2.000 EA,,2.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350800,INDERAL 40MG TABS 50,MPC Dubai Sales Off,Bur Dubai,1274,BURJUMAN PHARMACY L.L.C (L.G),1274,Private,88.62 AED,7.000 EA,,7.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350800,INDERAL 40MG TABS 50,MPC Dubai Sales Off,Bur Dubai,21156,DOHA PHARMACY (L.G),21156,Private,12.66 AED,1.000 EA,,1.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350800,INDERAL 40MG TABS 50,MPC Dubai Sales Off,Bur Dubai,27658,LIWA PHARMACY(L.G),27658,Private,37.98 AED,3.000 EA,,3.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350800,INDERAL 40MG TABS 50,MPC Dubai Sales Off,Bur Dubai,43822,MODERN LIFE PHY -(L.G),43822,Private,88.62 AED,7.000 EA,,7.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350800,INDERAL 40MG TABS 50,MPC Dubai Sales Off,Bur Dubai,45415,800 PHARMACY L.L.C,45415,Private,0.00 AED,0.000 EA,,0.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350800,INDERAL 40MG TABS 50,MPC Dubai Sales Off,Bur Dubai,48877,LIFE HOME HEALTH CARE FZ (L.G),48877,Private,75.96 AED,6.000 EA,,6.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350800,INDERAL 40MG TABS 50,MPC Dubai Sales Off,Bur Dubai,73986,ROYAL MARINA PHY (L.G),73986,Private,25.32 AED,2.000 EA,,2.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350800,INDERAL 40MG TABS 50,MPC Dubai Sales Off,Bur Dubai,74179,NEW AL KANZ PHY B.DXB (L.G),74179,Private,12.66 AED,1.000 EA,,1.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350800,INDERAL 40MG TABS 50,MPC Dubai Sales Off,Bur Dubai,76645,NEW GRAND 1 PHY B.DXB(L.G),76645,Private,25.32 AED,2.000 EA,,2.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350800,INDERAL 40MG TABS 50,MPC Dubai Sales Off,Bur Dubai,83918,RIVIERA LIFE PHY -(L.G),83918,Private,75.96 AED,6.000 EA,,6.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350800,INDERAL 40MG TABS 50,MPC Dubai Sales Off,Bur Dubai,90680,LIFE PHARMACY3(BR)JUMERAH(L.G),90680,Private,50.64 AED,4.000 EA,,4.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350800,INDERAL 40MG TABS 50,MPC Dubai Sales Off,Bur Dubai,90687,LIFE PHARMACY LLC(BRANCH)(L.G),90687,Private,25.32 AED,2.000 EA,,2.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350800,INDERAL 40MG TABS 50,MPC Dubai Sales Off,Bur Dubai,91361,JVC LIFE PHY LLC(L.G),91361,Private,12.66 AED,1.000 EA,,1.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350800,INDERAL 40MG TABS 50,MPC Dubai Sales Off,Bur Dubai,96642,LIFE PHARMACY 8 (L.G.),96642,Private,63.30 AED,5.000 EA,,5.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350800,INDERAL 40MG TABS 50,MPC Dubai Sales Off,Bur Dubai,105667,LIFE PHARMACY LLC(BR)-1216(L.G),105667,Private,25.32 AED,2.000 EA,,2.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350800,INDERAL 40MG TABS 50,MPC Dubai Sales Off,Bur Dubai,117215,1287 - LIFE PHARMACY 57 (L.G),117215,Private,50.64 AED,4.000 EA,,4.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350800,INDERAL 40MG TABS 50,MPC Dubai Sales Off,Sharjah,76576,AL FARDAN CENTRE PHY (L.G),76576,Private,25.32 AED,2.000 EA,,2.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350800,INDERAL 40MG TABS 50,MPC Dubai Sales Off,Sharjah,78482,HALA BR 10 PHY SHJ(L.G),78482,Private,37.98 AED,3.000 EA,,3.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350800,INDERAL 40MG TABS 50,MPC Dubai Sales Off,Sharjah,78486,HALA BR 7 SHJ(L.G),78486,Private,50.64 AED,4.000 EA,,4.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350800,INDERAL 40MG TABS 50,MPC Dubai Sales Off,Sharjah,115329,1277 HALA PHARMACYLLC.BR51(L.G),115329,Private,37.98 AED,3.000 EA,,3.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350800,INDERAL 40MG TABS 50,MPC Dubai Sales Off,Sharjah,120281,HALA PHARMACY LLC -BR 55 (L.G),120281,Private,25.32 AED,2.000 EA,,2.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350800,INDERAL 40MG TABS 50,MPC Dubai Sales Off,Sharjah,120344,HALA PHARMACY LLC - BR 56 (L.G),120344,Private,12.66 AED,1.000 EA,,1.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350800,INDERAL 40MG TABS 50,MPC Dubai Sales Off,Sharjah,120560,LIFE PHARMACY 77 L.G ( BR OF LIFE,120560,Private,151.92 AED,12.000 EA,,12.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350800,INDERAL 40MG TABS 50,MPC Dubai Sales Off,Fujairah,71429,MAKKAH PHARMACY - FUJAIRAH,71429,Private,12.66 AED,1.000 EA,,1.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350800,INDERAL 40MG TABS 50,MPC Dubai Sales Off,Fujairah,116778,LIFE PHARAMCY LLC FUJ BR1 L.G,116778,Private,12.66 AED,1.000 EA,,1.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350800,INDERAL 40MG TABS 50,MPC Dubai Sales Off,Ajman,119530,HALA PHARMACY LLC -BR 54(L.G),119530,Private,12.66 AED,1.000 EA,,1.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350800,INDERAL 40MG TABS 50,MPC Dubai Sales Off,Ras Al Khaima,8030,AL NAKHEEL PHY - RAK,8030,Private,37.98 AED,3.000 EA,,3.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350800,INDERAL 40MG TABS 50,MPC Dubai Sales Off,Ras Al Khaima,89333,HALA PHARMACY 21 RAK (L.G),89333,Private,25.32 AED,2.000 EA,,2.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350800,INDERAL 40MG TABS 50,MPC Dubai Sales Off,Ras Al Khaima,99424,HALA PHARMACY 34 LLC (L.G),99424,Private,25.32 AED,2.000 EA,,2.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350813,NOLVADEX 10 MG TABS OF 30,MPC Dubai Sales Off,Dubai,121888,GALLERIA UNITED PHARMACY (BR OF UNI,121888,Private,40.14 AED,1.000 EA,,1.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350813,NOLVADEX 10 MG TABS OF 30,MPC Dubai Sales Off,Deira Dubai,54951,AL JABRI PHARMACY DEIRA DXB,54951,Private,80.28 AED,2.000 EA,,2.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350813,NOLVADEX 10 MG TABS OF 30,MPC Dubai Sales Off,Deira Dubai,79645,HALA PHY 16 L.L.C  - (L.G),79645,Private,160.56 AED,4.000 EA,,4.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350813,NOLVADEX 10 MG TABS OF 30,MPC Dubai Sales Off,Bur Dubai,45415,800 PHARMACY L.L.C,45415,Private,0.00 AED,0.000 EA,,0.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350813,NOLVADEX 10 MG TABS OF 30,MPC Dubai Sales Off,Bur Dubai,77694,MANSION PHARMACY (L.G),77694,Private,80.28 AED,2.000 EA,,2.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350813,NOLVADEX 10 MG TABS OF 30,MPC Dubai Sales Off,Bur Dubai,97005,LIFE PHARMACY 10 (L.G),97005,Private,40.14 AED,1.000 EA,,1.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350813,NOLVADEX 10 MG TABS OF 30,MPC Dubai Sales Off,Bur Dubai,98990,THE POINTE LIFE PHARMACY (L.G),98990,Private,120.42 AED,3.000 EA,,3.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350813,NOLVADEX 10 MG TABS OF 30,MPC Dubai Sales Off,Bur Dubai,105019,LIFE AL WARQA 2 PHARMACY (L.G),105019,Private,80.28 AED,2.000 EA,,2.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350813,NOLVADEX 10 MG TABS OF 30,MPC Dubai Sales Off,Bur Dubai,112390,LIFE PHARMACY 13 (L.G),112390,Private,40.14 AED,1.000 EA,,1.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350813,NOLVADEX 10 MG TABS OF 30,MPC Dubai Sales Off,Sharjah,76576,AL FARDAN CENTRE PHY (L.G),76576,Private,120.42 AED,3.000 EA,,3.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350813,NOLVADEX 10 MG TABS OF 30,MPC Dubai Sales Off,Sharjah,78482,HALA BR 10 PHY SHJ(L.G),78482,Private,80.28 AED,2.000 EA,,2.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350813,NOLVADEX 10 MG TABS OF 30,MPC Dubai Sales Off,Fujairah,71429,MAKKAH PHARMACY - FUJAIRAH,71429,Private,160.56 AED,4.000 EA,,4.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350815,NOLVADEX'D 20MG TABS INTAG F/C 3 X 10'S,MPC Dubai Sales Off,Deira Dubai,31984,MURSHID PHARMACY-DUBAI(L.G),31984,Private,657.84 AED,12.000 EA,,12.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350815,NOLVADEX'D 20MG TABS INTAG F/C 3 X 10'S,MPC Dubai Sales Off,Deira Dubai,40615,FAWAGEE SCIENTIFIC PHY -(L.G),40615,Private,54.82 AED,1.000 EA,,1.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350815,NOLVADEX'D 20MG TABS INTAG F/C 3 X 10'S,MPC Dubai Sales Off,Deira Dubai,85770,HAMRIYA LIFE PHY LLC - (L.G),85770,Private,54.82 AED,1.000 EA,,1.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350815,NOLVADEX'D 20MG TABS INTAG F/C 3 X 10'S,MPC Dubai Sales Off,Deira Dubai,115802,LIFE PHARMACY 55 (L.G),115802,Private,54.82 AED,1.000 EA,,1.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350815,NOLVADEX'D 20MG TABS INTAG F/C 3 X 10'S,MPC Dubai Sales Off,Bur Dubai,45415,800 PHARMACY L.L.C,45415,Private,0.00 AED,0.000 EA,,0.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350815,NOLVADEX'D 20MG TABS INTAG F/C 3 X 10'S,MPC Dubai Sales Off,Bur Dubai,59329,EXTRA LIFE PHARMACY-(L.G),59329,Private,109.64 AED,2.000 EA,,2.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350815,NOLVADEX'D 20MG TABS INTAG F/C 3 X 10'S,MPC Dubai Sales Off,Bur Dubai,77679,NOOR AL IMAN PHY LLC-(L.G),77679,Private,54.82 AED,1.000 EA,,1.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350815,NOLVADEX'D 20MG TABS INTAG F/C 3 X 10'S,MPC Dubai Sales Off,Bur Dubai,78483,HALA PHARMACY 15 LLC (L.G),78483,Private,219.28 AED,4.000 EA,,4.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350815,NOLVADEX'D 20MG TABS INTAG F/C 3 X 10'S,MPC Dubai Sales Off,Bur Dubai,95221,LIFE PHARMACY LLC(DMCC BR)L.G,95221,Private,54.82 AED,1.000 EA,,1.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350815,NOLVADEX'D 20MG TABS INTAG F/C 3 X 10'S,MPC Dubai Sales Off,Bur Dubai,106531,SUPER CARE PHARMACY LLC - BRANCH 01,106531,Private,164.46 AED,3.000 EA,,3.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350815,NOLVADEX'D 20MG TABS INTAG F/C 3 X 10'S,MPC Dubai Sales Off,Bur Dubai,108356,LIFE PHARMACY VILLAGE MALL(L.G),108356,Private,219.28 AED,4.000 EA,,4.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350815,NOLVADEX'D 20MG TABS INTAG F/C 3 X 10'S,MPC Dubai Sales Off,Sharjah,78482,HALA BR 10 PHY SHJ(L.G),78482,Private,54.82 AED,1.000 EA,,1.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350818,KOMBIGLYZE XR 2.5/1000 TAB 60#S,MPC Dubai Sales Off,Deira Dubai,95211,SAMAA ALWARQA PHARMACY L.L.C,95211,Private,163.21 AED,1.000 EA,,1.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350819,KOMBIGLYZE XR 5/1000 TAB 30#S,MPC Dubai Sales Off,Deira Dubai,58033,AL QUSAIS STAR PHARMACY(LLC) - DXB,58033,Private,156.49 AED,1.000 EA,,1.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350819,KOMBIGLYZE XR 5/1000 TAB 30#S,MPC Dubai Sales Off,Deira Dubai,95211,SAMAA ALWARQA PHARMACY L.L.C,95211,Private,156.49 AED,1.000 EA,,1.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350826,TENORMIN 100MG TABS 28,MPC Dubai Sales Off,Deira Dubai,19443,AL BARAHA PHARMACY LLC. - DUBAI,19443,Private,227.88 AED,6.000 EA,,6.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350833,TENORMIN 25MG TAB OF 28,MPC Dubai Sales Off,Deira Dubai,19443,AL BARAHA PHARMACY LLC. - DUBAI,19443,Private,81.00 AED,6.000 EA,,6.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350833,TENORMIN 25MG TAB OF 28,MPC Dubai Sales Off,Deira Dubai,33313,SAHAR PHARMACY-DEIRA,33313,Private,67.50 AED,5.000 EA,,5.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350833,TENORMIN 25MG TAB OF 28,MPC Dubai Sales Off,Deira Dubai,74280,AL MOUHEBA PHY DEIRA,74280,Private,40.50 AED,3.000 EA,,3.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350833,TENORMIN 25MG TAB OF 28,MPC Dubai Sales Off,Deira Dubai,75842,STAR MIRDIF PHARMACY,75842,Private,54.00 AED,4.000 EA,,4.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350833,TENORMIN 25MG TAB OF 28,MPC Dubai Sales Off,Bur Dubai,66282,UNICARE PHY B.DXB,66282,Private,27.00 AED,2.000 EA,,2.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350833,TENORMIN 25MG TAB OF 28,MPC Dubai Sales Off,Sharjah,71386,AL SAMAH PHARMACY LLC,71386,Private,81.00 AED,6.000 EA,,6.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350833,TENORMIN 25MG TAB OF 28,MPC Dubai Sales Off,Fujairah,71429,MAKKAH PHARMACY - FUJAIRAH,71429,Private,27.00 AED,2.000 EA,,2.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350833,TENORMIN 25MG TAB OF 28,MPC Dubai Sales Off,Ras Al Khaima,8030,AL NAKHEEL PHY - RAK,8030,Private,27.00 AED,2.000 EA,,2.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350855,ZESTRIL 5MG TAB 28(PNK),MPC Dubai Sales Off,Deira Dubai,74280,AL MOUHEBA PHY DEIRA,74280,Private,24.06 AED,1.000 EA,,1.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350856,ZESTRIL 10MG TAB 28(PNK),MPC Dubai Sales Off,Deira Dubai,19443,AL BARAHA PHARMACY LLC. - DUBAI,19443,Private,106.36 AED,2.000 EA,,2.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350857,ZESTRIL 20MG TAB 28(RED),MPC Dubai Sales Off,Deira Dubai,33313,SAHAR PHARMACY-DEIRA,33313,Private,73.01 AED,1.000 EA,,1.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350857,ZESTRIL 20MG TAB 28(RED),MPC Dubai Sales Off,Sharjah,71386,AL SAMAH PHARMACY LLC,71386,Private,73.01 AED,1.000 EA,,1.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350862,ZESTORETIC TAB OF 28,MPC Dubai Sales Off,Bur Dubai,1274,BURJUMAN PHARMACY L.L.C (L.G),1274,Private,73.01 AED,1.000 EA,,1.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350862,ZESTORETIC TAB OF 28,MPC Dubai Sales Off,Bur Dubai,46629,SUPER CARE EMIRATES PHARMACY,46629,Private,438.06 AED,6.000 EA,,6.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350862,ZESTORETIC TAB OF 28,MPC Dubai Sales Off,Bur Dubai,96642,LIFE PHARMACY 8 (L.G.),96642,Private,73.01 AED,1.000 EA,,1.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350862,ZESTORETIC TAB OF 28,MPC Dubai Sales Off,Bur Dubai,119260,LIFE PHARMACY 70 ( BR OF L.G),119260,Private,73.01 AED,1.000 EA,,1.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350865,ZOMIG 2.5MG TABS OF 3,MPC Dubai Sales Off,Dubai,119953,LIFE PHARMACY 78 ( BR OF LIFE PHARM,119953,Private,317.80 AED,5.000 EA,,5.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350865,ZOMIG 2.5MG TABS OF 3,MPC Dubai Sales Off,Dubai,121918,UNITED PHARMACY 2 (BR OF UNITED,121918,Private,127.12 AED,2.000 EA,,2.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350865,ZOMIG 2.5MG TABS OF 3,MPC Dubai Sales Off,Dubai,122947,LIFE PHARMACY 87 (BR OF LIFE PHARMA,122947,Private,63.56 AED,1.000 EA,,1.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350865,ZOMIG 2.5MG TABS OF 3,MPC Dubai Sales Off,Deira Dubai,32278,FAWAGEE PHARMACY-DEIRA(L.G),32278,Private,190.68 AED,3.000 EA,,3.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350865,ZOMIG 2.5MG TABS OF 3,MPC Dubai Sales Off,Bur Dubai,27658,LIWA PHARMACY(L.G),27658,Private,63.56 AED,1.000 EA,,1.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350865,ZOMIG 2.5MG TABS OF 3,MPC Dubai Sales Off,Bur Dubai,91698,KARAMA LIFE PHARMACY-(L.G),91698,Private,127.12 AED,2.000 EA,,2.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350865,ZOMIG 2.5MG TABS OF 3,MPC Dubai Sales Off,Bur Dubai,95221,LIFE PHARMACY LLC(DMCC BR)L.G,95221,Private,63.56 AED,1.000 EA,,1.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350865,ZOMIG 2.5MG TABS OF 3,MPC Dubai Sales Off,Bur Dubai,99712,C C S LIFE PHARMACY (L.G),99712,Private,127.12 AED,2.000 EA,,2.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350865,ZOMIG 2.5MG TABS OF 3,MPC Dubai Sales Off,Bur Dubai,110574,NAHDI DRUG STORE L.L.C,110574,Private,762.72 AED,12.000 EA,,12.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350866,ZOMIG 2.5MG TABS OF 6,MPC Dubai Sales Off,Dubai,121176,LIFE PHARMACY 95 (BR OF LIFE PHARMA,121176,Private,118.63 AED,1.000 EA,,1.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350866,ZOMIG 2.5MG TABS OF 6,MPC Dubai Sales Off,Bur Dubai,112394,LIFE PHARMACY 22 (L.G),112394,Private,593.15 AED,5.000 EA,,5.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M350889,XIGDUO XR 10/1000 OF 30'S,MPC Dubai Sales Off,Dubai,104769,KINGS COLLEGE HOSPITAL LONDON(BR OF,104769,Private,"1,420.62 AED",6.000 EA,,6.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M360001,ATACAND 4MG TABS OF 28'S,MPC Dubai Sales Off,Dubai,104769,KINGS COLLEGE HOSPITAL LONDON(BR OF,104769,Private,245.64 AED,6.000 EA,,6.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M360002,ATACAND 8MG TABS OF 28'S,MPC Dubai Sales Off,Fujairah,71429,MAKKAH PHARMACY - FUJAIRAH,71429,Private,61.20 AED,1.000 EA,,1.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M360015,PULMICORT NEB.SOL 0.25MG/ML 20'S 2ML,MPC Dubai Sales Off,Bur Dubai,41768,GULF PHARMACY-BUR DUBAI,41768,Private,872.10 AED,6.000 EA,,6.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M360023,NEXIUM 10MG SACHETS OF 28'S,MPC Dubai Sales Off,Dubai,87266,AL JALILA CHILDREN'S SPECIALITY,87266,Institutional,"9,116.40 AED",120.000 EA,,120.000 EA
7.2022,ASTRA ZENECA,7/2/2022,M360023,NEXIUM 10MG SACHETS OF 28'S,MPC Dubai Sales Off,Deira Dubai,58033,AL QUSAIS STAR PHARMACY(LLC) - DXB,58033,Private,75.97 AED,1.000 EA,,1.000 EA
